,AreaName,Price ($),lat,lng
0,Richview,999888,43.679882,-79.54426600000001
1,Downtown,362000,43.651478000000004,-79.36811800000001
2,Old East York,1488000,43.686375,-79.328918
3,Clearview,1289000,43.495579,-79.658272
4,Old East York,599900,43.697842,-79.317368
5,Downtown,805900,43.666794,-79.388756
6,Dorset Park,549900,43.749598999999996,-79.270844
7,Richview,850000,43.692314,-79.552635
8,Downtown,1348000,43.642578,-79.3769
9,Morningside,675000,43.788639,-79.207932
10,Ionview,499900,43.740097,-79.273987
11,Kennedy Park,599000,43.733814,-79.25
12,Rexdale,549900,43.726189,-79.582047
13,Tam O'Shanter,698000,43.774623999999996,-79.298141
14,Malvern,338000,43.805099,-79.21195999999999
15,Don Valley Village,699800,43.792187,-79.365669
16,Downtown,325000,43.650372,-79.382347
17,Wilson Heights,1149000,43.734875,-79.441017
18,Wexford - Maryvale,749900,43.742484999999995,-79.296707
19,Willowdale,419000,43.779987,-79.412735
20,Oakville,1249900,43.441227000000005,-79.672119
21,Mimico,749000,43.609004999999996,-79.496078
22,Wexford - Maryvale,649900,43.763866,-79.312263
23,Richview,595500,43.687061,-79.571083
24,Downtown,312000,43.666897,-79.389038
25,Agincourt,709900,43.809810999999996,-79.263359
26,Dorset Park,599900,43.755790999999995,-79.28788
27,Princess Margaret,1049000,43.666405,-79.553543
28,Flemingdon Park,279900,43.717915000000005,-79.326309
29,Willowdale,299900,43.757698,-79.409042
30,Niagara,399900,43.639946,-79.416664
31,Downtown,548000,43.645641,-79.39295200000001
32,Mimico,309000,43.62421,-79.489449
33,Niagara,369000,43.636837,-79.406052
34,Liberty Village,420000,43.638054,-79.41481800000001
35,Bayview Village,429000,43.766094,-79.385582
36,Willowdale,559000,43.760464,-79.410248
37,Bendale,699900,43.744205,-79.262428
38,Old East York,315000,43.696827,-79.29341099999999
39,Bayview Village,428000,43.769611,-79.368416
40,Willowdale,348800,43.757408,-79.406853
41,Morningside,209900,43.786037,-79.197723
42,Midtown Toronto,989000,43.708542,-79.40211500000001
43,Downtown,445900,43.669151,-79.387375
44,Rexdale,319901,43.74955,-79.58075
45,Birch Cliff,699000,43.688419,-79.267677
46,Nortown,1299900,43.736374,-79.430412
47,Henry Farm,325000,43.773922,-79.345726
48,Humberlea,1049000,43.729229,-79.534203
49,Mimico,320000,43.62273,-79.483192
50,Scarborough Junction,179000,43.72599,-79.265015
51,Downtown,459000,43.650372,-79.382347
52,Willowdale,409900,43.769829,-79.413467
53,Willowdale,580000,43.760135999999996,-79.40789000000001
54,Willowdale,605900,43.760464,-79.410248
55,Willowdale,469900,43.765537,-79.413155
56,Willowdale,515000,43.760181,-79.408218
57,Downtown,438800,43.641346,-79.372421
58,Downsview,579999,43.743221000000005,-79.488487
59,Carleton Village,699900,43.673656,-79.455894
60,Islington,598000,43.649681,-79.530716
61,Leslieville,1369900,43.663742,-79.324966
62,Rexdale,254900,43.759262,-79.585342
63,Bayview Village,559999,43.767936999999996,-79.387955
64,Old Town,337000,43.653217,-79.368378
65,Riverdale,1599000,43.682064000000004,-79.353073
66,Downtown,438000,43.647224,-79.391098
67,Steeles,329900,43.814667,-79.326698
68,Malvern,849000,43.815104999999996,-79.217415
69,Newtonbrook,389999,43.784409000000004,-79.416061
70,The Queensway,699900,43.628426,-79.49398000000001
71,Weston,319800,43.701572,-79.52018699999999
72,Newtonbrook,560000,43.78017,-79.418251
73,Downtown,448888,43.668777,-79.383995
74,Niagara,399000,43.636345,-79.404808
75,Downtown,704900,43.661792999999996,-79.384506
76,Downtown,389000,43.645984999999996,-79.389938
77,Newtonbrook,283000,43.780453,-79.413811
78,Mimico,579000,43.630383,-79.47627299999999
79,Downtown,329000,43.654648,-79.37925
80,White Haven,650000,43.786873,-79.256088
81,Lawrence Heights,359000,43.714591999999996,-79.452911
82,Oakville,399900,43.475967,-79.687119
83,Oakville,649000,43.436699,-79.678169
84,Oakville,610000,43.436699,-79.678169
85,Oakville,929900,43.471542,-79.686661
86,Oakville,475000,43.445029999999996,-79.667793
87,Oakville,610000,43.436699,-79.678169
88,Midtown Toronto,699000,43.676369,-79.405739
89,Swansea,789900,43.636292,-79.470467
90,Downtown,379000,43.640223999999996,-79.39595
91,Downtown,568000,43.639782000000004,-79.397949
92,Midtown Toronto,415000,43.674103,-79.388809
93,Downtown,1299000,43.6604,-79.379234
94,Downtown,650000,43.643845,-79.391823
95,Liberty Village,388000,43.638775,-79.41626
96,Downtown,375000,43.658798,-79.384392
97,King West Village,589900,43.63818,-79.413895
98,Midtown Toronto,1399000,43.68544,-79.395966
99,Niagara,450000,43.636837,-79.406052
100,Downtown,449900,43.652714,-79.3563
101,East Danforth,397500,43.685455,-79.313133
102,Wallace Emerson,939000,43.661915,-79.439941
103,North Toronto,380000,43.711781,-79.39164
104,Downtown,565000,43.65765,-79.376762
105,Niagara,349000,43.639881,-79.414192
106,Entertainment District,573000,43.649025,-79.38713800000001
107,Downtown,589000,43.652451,-79.388931
108,Downtown,299000,43.645984999999996,-79.389938
109,Downtown,599000,43.661896,-79.38575
110,Downtown,739900,43.642464000000004,-79.375519
111,Swansea,1299900,43.652039,-79.470833
112,Downtown,508000,43.647942,-79.390945
113,Midtown Toronto,599000,43.708008,-79.400787
114,Downtown,375000,43.667915,-79.375679
115,Downtown,339000,43.660103,-79.385086
116,Dufferin Grove,379900,43.660225,-79.428726
117,Woodbine - Lumsden,899900,43.690174,-79.304123
118,Midtown Toronto,579000,43.685623,-79.409592
119,Downtown,579000,43.649246000000005,-79.375755
120,Downtown,359900,43.644932,-79.392143
121,Trinity - Bellwoods,919000,43.647694,-79.42276
122,Midtown Toronto,1399000,43.70208,-79.437904
123,Leslieville,859000,43.665805999999996,-79.33489200000001
124,Niagara,289000,43.636345,-79.404808
125,Entertainment District,560000,43.642208000000004,-79.383728
126,Niagara,309900,43.637035,-79.402863
127,Swansea,269900,43.636173,-79.47075699999999
128,Downtown,425000,43.669456,-79.387474
129,Downtown,395000,43.649731,-79.365303
130,Midtown Toronto,1399999,43.671864,-79.393814
131,Liberty Village,375000,43.638775,-79.41626
132,Downtown,420000,43.644455,-79.37653399999999
133,Downtown,1525000,43.668617,-79.38943499999999
134,Liberty Village,379900,43.638306,-79.414787
135,Downtown,449900,43.639343,-79.39984100000001
136,Downtown,374000,43.656807,-79.37509200000001
137,Eglinton East,699900,43.742371,-79.245285
