,AreaName,Price ($),lat,lng,KMeans_Cluster
0,Richview,999888,43.679882,-79.54426600000002,2
1,Downtown,362000,43.651478,-79.36811800000002,0
2,Old East York,1488000,43.686375,-79.328918,1
3,Clearview,1289000,43.495579,-79.658272,1
4,Old East York,599900,43.697842,-79.317368,2
5,Downtown,805900,43.666794,-79.388756,2
6,Dorset Park,549900,43.749599,-79.270844,2
7,Richview,850000,43.692314,-79.552635,2
8,Downtown,1348000,43.642578,-79.3769,1
9,Morningside,675000,43.788639,-79.207932,2
10,Ionview,499900,43.740097,-79.273987,0
11,Kennedy Park,599000,43.733814,-79.25,2
12,Rexdale,549900,43.726189,-79.582047,2
13,Tam O'Shanter,698000,43.774624,-79.298141,2
14,Malvern,338000,43.805099,-79.21195999999998,0
15,Don Valley Village,699800,43.792187,-79.365669,2
16,Downtown,325000,43.650372,-79.382347,0
17,Wilson Heights,1149000,43.734875,-79.441017,1
18,Wexford - Maryvale,749900,43.742485,-79.296707,2
19,Willowdale,419000,43.779987,-79.412735,0
20,Oakville,1249900,43.44122700000001,-79.672119,1
21,Mimico,749000,43.609005,-79.496078,2
22,Wexford - Maryvale,649900,43.763866,-79.312263,2
23,Richview,595500,43.687061,-79.571083,2
24,Downtown,312000,43.666897,-79.389038,0
25,Agincourt,709900,43.809811,-79.263359,2
26,Dorset Park,599900,43.755791,-79.28788,2
27,Princess Margaret,1049000,43.666405,-79.553543,1
28,Flemingdon Park,279900,43.71791500000001,-79.326309,0
29,Willowdale,299900,43.757698,-79.409042,0
30,Niagara,399900,43.639946,-79.416664,0
31,Downtown,548000,43.645641,-79.39295200000002,2
32,Mimico,309000,43.62421,-79.489449,0
33,Niagara,369000,43.636837,-79.406052,0
34,Liberty Village,420000,43.638054,-79.41481800000003,0
35,Bayview Village,429000,43.766094,-79.385582,0
36,Willowdale,559000,43.760464,-79.410248,2
37,Bendale,699900,43.744205,-79.262428,2
38,Old East York,315000,43.696827,-79.29341099999998,0
39,Bayview Village,428000,43.769611,-79.368416,0
40,Willowdale,348800,43.757408,-79.406853,0
41,Morningside,209900,43.786037,-79.197723,0
42,Midtown Toronto,989000,43.708542,-79.40211500000002,2
43,Downtown,445900,43.669151,-79.387375,0
44,Rexdale,319901,43.74955,-79.58075,0
45,Birch Cliff,699000,43.688419,-79.267677,2
46,Nortown,1299900,43.736374,-79.430412,1
47,Henry Farm,325000,43.773922,-79.345726,0
48,Humberlea,1049000,43.729229,-79.534203,1
49,Mimico,320000,43.62273,-79.483192,0
50,Scarborough Junction,179000,43.72599,-79.265015,0
51,Downtown,459000,43.650372,-79.382347,0
52,Willowdale,409900,43.769829,-79.413467,0
53,Willowdale,580000,43.760136,-79.40789000000002,2
54,Willowdale,605900,43.760464,-79.410248,2
55,Willowdale,469900,43.765537,-79.413155,0
56,Willowdale,515000,43.760181,-79.408218,0
57,Downtown,438800,43.641346,-79.372421,0
