"Neighbourhood","Neighbourhood Id","Combined Indicators","With Bachelor Degree or Higher","Average Family Income","Pop 25 - 29 years","Pop 30 - 34 years","Pop 35 - 39 years","Pop 40 - 44 years","Healthy Food Index","Arsons","Murders","Thefts","Vehicle Thefts","Robberies","Break & Enters","Sexual Assaults","Assaults","Drug Arrests"
"West Humber-Clairville",1.0,"N/A",6170.0,72820.0,2785.0,2345.0,2035.0,1980.0,23.82,2.0,3.0,38.0,316.0,82.0,131.0,31.0,259.0,29.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",4450.0,57411.0,2400.0,2250.0,2185.0,2275.0,37.57,1.0,1.0,3.0,42.0,81.0,34.0,16.0,213.0,24.0
"Thistletown-Beaumond Heights",3.0,"N/A",1690.0,70838.0,680.0,715.0,665.0,610.0,42.26,0.0,0.0,1.0,13.0,12.0,23.0,3.0,35.0,7.0
"Rexdale-Kipling",4.0,"N/A",1620.0,69367.0,715.0,680.0,640.0,680.0,23.31,1.0,0.0,0.0,22.0,15.0,16.0,5.0,57.0,11.0
"Elms-Old Rexdale",5.0,"N/A",1130.0,61196.0,600.0,575.0,550.0,540.0,24.71,0.0,0.0,0.0,16.0,14.0,9.0,2.0,53.0,9.0
"Kingsview Village-The Westway",6.0,"N/A",3720.0,68145.0,1415.0,1430.0,1365.0,1365.0,35.69,2.0,2.0,5.0,42.0,22.0,34.0,6.0,110.0,12.0
"Willowridge-Martingrove-Richview",7.0,"N/A",5265.0,79241.0,1235.0,1235.0,1295.0,1295.0,30.46,0.0,0.0,4.0,48.0,38.0,32.0,6.0,88.0,6.0
"Humber Heights-Westmount",8.0,"N/A",2340.0,81267.0,520.0,595.0,560.0,605.0,32.82,2.0,1.0,4.0,17.0,8.0,24.0,0.0,25.0,3.0
"Edenbridge-Humber Valley",9.0,"N/A",5190.0,119581.0,895.0,905.0,810.0,940.0,46.41,0.0,0.0,1.0,29.0,3.0,46.0,6.0,26.0,3.0
"Princess-Rosethorn",10.0,"N/A",4480.0,144943.0,440.0,395.0,500.0,660.0,39.52,0.0,1.0,3.0,24.0,20.0,33.0,6.0,25.0,4.0
"Eringate-Centennial-West Deane",11.0,"N/A",4915.0,88741.0,965.0,955.0,1000.0,1000.0,10.43,1.0,0.0,5.0,29.0,15.0,28.0,5.0,52.0,7.0
"Markland Wood",12.0,"N/A",3525.0,100337.0,480.0,420.0,480.0,580.0,7.99,0.0,0.0,2.0,13.0,8.0,18.0,1.0,23.0,2.0
"Etobicoke West Mall",13.0,"N/A",2705.0,67704.0,985.0,860.0,710.0,705.0,15.41,1.0,1.0,0.0,15.0,3.0,13.0,3.0,40.0,0.0
"Islington-City Centre West",14.0,"N/A",15135.0,87747.0,3985.0,4060.0,3530.0,2960.0,31.01,4.0,0.0,37.0,134.0,33.0,104.0,27.0,186.0,30.0
"Kingsway South",15.0,"N/A",4440.0,191204.0,320.0,305.0,490.0,610.0,43.15,1.0,0.0,1.0,9.0,8.0,27.0,2.0,24.0,10.0
"Stonegate-Queensway",16.0,"N/A",8490.0,100867.0,1310.0,1545.0,1810.0,1960.0,31.23,1.0,0.0,5.0,12.0,12.0,50.0,3.0,66.0,11.0
"Mimico",17.0,"N/A",11520.0,87901.0,3520.0,3805.0,2955.0,2460.0,21.59,1.0,1.0,14.0,33.0,8.0,47.0,17.0,206.0,24.0
"New Toronto",18.0,"N/A",2790.0,70398.0,910.0,895.0,875.0,825.0,24.84,0.0,1.0,6.0,11.0,15.0,41.0,13.0,82.0,16.0
"Long Branch",19.0,"N/A",2585.0,77549.0,820.0,835.0,765.0,680.0,28.08,0.0,0.0,0.0,14.0,6.0,28.0,2.0,48.0,4.0
"Alderwood",20.0,"N/A",2290.0,83584.0,715.0,840.0,905.0,860.0,11.41,1.0,0.0,8.0,18.0,8.0,26.0,1.0,31.0,4.0
"Humber Summit",21.0,"N/A",1450.0,65757.0,835.0,745.0,755.0,775.0,32.33,3.0,0.0,18.0,61.0,19.0,39.0,8.0,91.0,12.0
"Humbermede",22.0,"N/A",1955.0,59697.0,1115.0,1045.0,1080.0,970.0,20.52,0.0,1.0,1.0,44.0,22.0,23.0,9.0,94.0,19.0
"Pelmo Park-Humberlea",23.0,"N/A",1595.0,76800.0,685.0,755.0,720.0,715.0,21.71,0.0,1.0,4.0,24.0,10.0,24.0,3.0,50.0,32.0
"Black Creek",24.0,"N/A",1565.0,52499.0,1575.0,1430.0,1295.0,1315.0,41.84,0.0,1.0,5.0,53.0,28.0,27.0,18.0,198.0,28.0
"Glenfield-Jane Heights",25.0,"N/A",2110.0,56582.0,1865.0,1855.0,1775.0,1750.0,41.05,5.0,1.0,11.0,63.0,59.0,28.0,24.0,247.0,55.0
"Downsview-Roding-CFB",26.0,"N/A",4485.0,61994.0,2240.0,2455.0,2620.0,2345.0,23.72,6.0,1.0,10.0,88.0,49.0,53.0,26.0,311.0,54.0
"York University Heights",27.0,"N/A",5555.0,59770.0,2825.0,2215.0,1840.0,1655.0,47.0,3.0,2.0,33.0,106.0,57.0,96.0,27.0,288.0,59.0
"Rustic",28.0,"N/A",800.0,59004.0,585.0,560.0,540.0,570.0,16.55,0.0,0.0,3.0,8.0,6.0,15.0,5.0,46.0,10.0
"Maple Leaf",29.0,"N/A",1580.0,68718.0,630.0,595.0,670.0,645.0,14.42,1.0,0.0,0.0,14.0,4.0,17.0,1.0,32.0,2.0
"Brookhaven-Amesbury",30.0,"N/A",1920.0,60364.0,1250.0,1295.0,1245.0,1155.0,43.1,1.0,0.0,3.0,29.0,25.0,31.0,9.0,91.0,15.0
"Yorkdale-Glen Park",31.0,"N/A",2405.0,70539.0,990.0,915.0,915.0,880.0,21.66,0.0,1.0,23.0,41.0,19.0,64.0,15.0,139.0,24.0
"Englemount-Lawrence",32.0,"N/A",5880.0,86616.0,1305.0,1385.0,1550.0,1440.0,43.98,0.0,0.0,7.0,22.0,42.0,59.0,4.0,111.0,4.0
"Clanton Park",33.0,"N/A",5290.0,89550.0,1155.0,1345.0,1370.0,1235.0,19.35,1.0,1.0,5.0,49.0,7.0,41.0,10.0,57.0,3.0
"Bathurst Manor",34.0,"N/A",4980.0,76914.0,930.0,1070.0,1210.0,1020.0,18.8,0.0,0.0,4.0,24.0,8.0,34.0,2.0,56.0,0.0
"Westminster-Branson",35.0,"N/A",8485.0,62791.0,1665.0,1830.0,1800.0,1770.0,24.63,2.0,0.0,6.0,24.0,9.0,19.0,7.0,108.0,5.0
"Newtonbrook West",36.0,"N/A",7920.0,66505.0,1845.0,1700.0,1655.0,1575.0,26.14,1.0,0.0,7.0,47.0,14.0,55.0,8.0,120.0,7.0
"Willowdale West",37.0,"N/A",7515.0,83632.0,1610.0,1540.0,1155.0,1045.0,17.67,1.0,0.0,2.0,12.0,14.0,35.0,6.0,73.0,6.0
"Lansing-Westgate",38.0,"N/A",7355.0,105947.0,1310.0,1355.0,1345.0,1225.0,19.11,2.0,0.0,7.0,27.0,8.0,42.0,7.0,63.0,8.0
"Bedford Park-Nortown",39.0,"N/A",9625.0,161110.0,875.0,1095.0,1370.0,1495.0,47.74,1.0,0.0,9.0,30.0,12.0,100.0,4.0,30.0,5.0
"St.Andrew-Windfields",40.0,"N/A",7770.0,162988.0,1025.0,790.0,865.0,1115.0,18.23,2.0,0.0,4.0,10.0,10.0,57.0,6.0,44.0,7.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",4795.0,356777.0,415.0,285.0,355.0,515.0,22.26,0.0,0.0,3.0,12.0,1.0,51.0,5.0,18.0,7.0
"Banbury-Don Mills",42.0,"N/A",10850.0,115239.0,1400.0,1595.0,1625.0,1790.0,21.31,1.0,0.0,9.0,6.0,12.0,55.0,7.0,68.0,13.0
"Victoria Village",43.0,"N/A",3760.0,65104.0,1135.0,1130.0,1260.0,1115.0,26.9,1.0,2.0,4.0,20.0,10.0,19.0,6.0,111.0,10.0
"Flemingdon Park",44.0,"N/A",4910.0,55824.0,1590.0,1605.0,1590.0,1475.0,21.66,0.0,0.0,3.0,5.0,19.0,14.0,5.0,123.0,8.0
"Parkwoods-Donalda",45.0,"N/A",9410.0,74645.0,2335.0,2270.0,2360.0,2420.0,33.6,0.0,0.0,3.0,24.0,25.0,45.0,9.0,141.0,8.0
"Pleasant View",46.0,"N/A",4625.0,71782.0,1055.0,965.0,865.0,1045.0,22.56,0.0,0.0,2.0,7.0,13.0,32.0,4.0,47.0,4.0
"Don Valley Village",47.0,"N/A",9675.0,69884.0,2010.0,1865.0,2000.0,2035.0,37.87,3.0,0.0,8.0,26.0,17.0,64.0,14.0,103.0,15.0
"Hillcrest Village",48.0,"N/A",6445.0,81484.0,1005.0,725.0,760.0,1030.0,48.46,2.0,0.0,1.0,20.0,9.0,33.0,12.0,34.0,3.0
"Bayview Woods-Steeles",49.0,"N/A",5120.0,88861.0,810.0,565.0,545.0,695.0,35.61,1.0,0.0,1.0,18.0,0.0,33.0,7.0,31.0,3.0
"Newtonbrook East",50.0,"N/A",6745.0,84163.0,1520.0,1205.0,905.0,910.0,29.12,0.0,1.0,6.0,5.0,7.0,41.0,4.0,70.0,14.0
"Willowdale East",51.0,"N/A",25095.0,80607.0,5785.0,5335.0,4185.0,3525.0,28.9,2.0,0.0,12.0,44.0,22.0,80.0,16.0,118.0,15.0
"Bayview Village",52.0,"N/A",9790.0,92800.0,2220.0,2220.0,1665.0,1445.0,32.12,0.0,0.0,5.0,13.0,8.0,33.0,9.0,67.0,8.0
"Henry Farm",53.0,"N/A",6370.0,65901.0,2025.0,1790.0,1385.0,1040.0,20.8,0.0,0.0,1.0,9.0,8.0,12.0,11.0,58.0,5.0
"O'Connor-Parkview",54.0,"N/A",3970.0,73050.0,1175.0,1120.0,1340.0,1230.0,37.63,2.0,0.0,6.0,7.0,20.0,34.0,11.0,118.0,12.0
"Thorncliffe Park",55.0,"N/A",5075.0,49530.0,1505.0,1760.0,1640.0,1590.0,34.53,3.0,0.0,11.0,4.0,12.0,24.0,3.0,71.0,20.0
"Leaside-Bennington",56.0,"N/A",7665.0,158847.0,590.0,605.0,940.0,1250.0,40.94,11.0,0.0,2.0,4.0,7.0,33.0,2.0,19.0,6.0
"Broadview North",57.0,"N/A",3510.0,67940.0,900.0,1040.0,970.0,950.0,31.36,0.0,0.0,2.0,8.0,9.0,16.0,6.0,45.0,8.0
"Old East York",58.0,"N/A",2435.0,90478.0,475.0,555.0,685.0,670.0,24.76,3.0,1.0,2.0,6.0,4.0,25.0,1.0,31.0,2.0
"Danforth-East York",59.0,"N/A",5255.0,83989.0,815.0,1295.0,1605.0,1515.0,24.56,0.0,0.0,4.0,11.0,6.0,41.0,3.0,39.0,9.0
"Woodbine-Lumsden",60.0,"N/A",2245.0,74945.0,470.0,650.0,730.0,635.0,27.87,0.0,0.0,5.0,3.0,3.0,14.0,6.0,30.0,9.0
"Taylor-Massey",61.0,"N/A",4535.0,51131.0,1275.0,1490.0,1340.0,1260.0,38.19,2.0,1.0,5.0,8.0,16.0,42.0,7.0,88.0,9.0
"East End-Danforth",62.0,"N/A",6860.0,90812.0,1145.0,1630.0,1805.0,1815.0,35.29,2.0,0.0,12.0,21.0,31.0,79.0,15.0,144.0,10.0
"The Beaches",63.0,"N/A",9235.0,139757.0,1085.0,1410.0,1665.0,1710.0,31.53,0.0,0.0,4.0,8.0,13.0,76.0,9.0,73.0,24.0
"Woodbine Corridor",64.0,"N/A",4220.0,90338.0,720.0,1075.0,1160.0,1135.0,29.04,1.0,0.0,6.0,9.0,6.0,51.0,7.0,65.0,8.0
"Greenwood-Coxwell",65.0,"N/A",4590.0,76085.0,1050.0,1295.0,1435.0,1275.0,44.29,1.0,0.0,7.0,14.0,10.0,62.0,11.0,74.0,14.0
"Danforth",66.0,"N/A",3295.0,88629.0,615.0,770.0,820.0,785.0,32.16,0.0,1.0,3.0,5.0,14.0,40.0,9.0,59.0,20.0
"Playter Estates-Danforth",67.0,"N/A",3380.0,112244.0,645.0,605.0,685.0,590.0,42.51,0.0,0.0,3.0,6.0,10.0,24.0,4.0,56.0,6.0
"North Riverdale",68.0,"N/A",5185.0,114599.0,680.0,870.0,965.0,920.0,47.17,1.0,1.0,4.0,6.0,23.0,41.0,9.0,45.0,6.0
"Blake-Jones",69.0,"N/A",2435.0,76633.0,495.0,615.0,670.0,635.0,39.98,1.0,1.0,0.0,5.0,13.0,23.0,10.0,61.0,12.0
"South Riverdale",70.0,"N/A",9420.0,83795.0,2240.0,3080.0,2875.0,2495.0,45.86,2.0,3.0,20.0,28.0,31.0,145.0,25.0,189.0,44.0
"Cabbagetown-South St.James Town",71.0,"N/A",5105.0,103558.0,1050.0,1005.0,930.0,820.0,43.71,5.0,0.0,6.0,9.0,16.0,53.0,11.0,96.0,28.0
"Regent Park",72.0,"N/A",3085.0,51758.0,1205.0,1125.0,880.0,745.0,42.52,1.0,0.0,2.0,3.0,14.0,25.0,4.0,78.0,12.0
"Moss Park",73.0,"N/A",8465.0,87222.0,2790.0,2860.0,2100.0,1600.0,42.76,5.0,3.0,12.0,16.0,112.0,129.0,39.0,383.0,174.0
"North St.James Town",74.0,"N/A",6305.0,49005.0,2280.0,2230.0,1810.0,1315.0,34.03,2.0,0.0,9.0,16.0,19.0,52.0,12.0,105.0,28.0
"Church-Yonge Corridor",75.0,"N/A",16930.0,77996.0,5540.0,4485.0,2750.0,1980.0,33.5,5.0,3.0,40.0,23.0,108.0,147.0,70.0,466.0,135.0
"Bay Street Corridor",76.0,"N/A",15090.0,90324.0,4545.0,3330.0,1840.0,1090.0,24.83,3.0,1.0,41.0,25.0,100.0,118.0,88.0,579.0,132.0
"Waterfront Communities-The Island",77.0,"N/A",41735.0,95004.0,15755.0,12400.0,6815.0,4135.0,31.61,5.0,0.0,56.0,40.0,63.0,213.0,68.0,712.0,140.0
"Kensington-Chinatown",78.0,"N/A",6395.0,64945.0,2710.0,1905.0,1210.0,970.0,37.57,5.0,5.0,16.0,26.0,53.0,80.0,34.0,273.0,105.0
"University",79.0,"N/A",3515.0,92815.0,1135.0,780.0,555.0,375.0,42.62,1.0,0.0,5.0,13.0,21.0,47.0,20.0,111.0,35.0
"Palmerston-Little Italy",80.0,"N/A",6210.0,94190.0,2360.0,1850.0,1125.0,885.0,45.81,0.0,0.0,6.0,12.0,27.0,39.0,13.0,67.0,9.0
"Trinity-Bellwoods",81.0,"N/A",5745.0,77477.0,2325.0,2075.0,1440.0,1215.0,35.45,2.0,1.0,2.0,25.0,20.0,49.0,10.0,133.0,54.0
"Niagara",82.0,"N/A",17025.0,88996.0,6865.0,6780.0,4125.0,2450.0,34.94,1.0,1.0,18.0,22.0,16.0,68.0,27.0,206.0,55.0
"Dufferin Grove",83.0,"N/A",3965.0,66895.0,1525.0,1645.0,1215.0,880.0,40.07,1.0,1.0,3.0,8.0,15.0,27.0,7.0,84.0,20.0
