,Neighbourhood,Neighbourhood Id,With Bachelor Degree or Higher,Average Family Income,Healthy Food Index,Pop 25-45 years,Crime,Lat,Lng
0,Rexdale-Kipling,4.0,1620.0,69367.0,23.31,2715.0,127.0,43.7213619,-79.5655129
1,Elms-Old Rexdale,5.0,1130.0,61196.0,24.71,2265.0,103.0,43.7213619,-79.5655129
2,Edenbridge-Humber Valley,9.0,5190.0,119581.0,46.41,3550.0,114.0,43.6714781,-79.5167311
3,Markland Wood,12.0,3525.0,100337.0,7.99,1960.0,67.0,53.5783059,-2.4793439
4,Etobicoke West Mall,13.0,2705.0,67704.0,15.41,3260.0,76.0,43.6288996,-79.5590732
5,Kingsway South,15.0,4440.0,191204.0,43.15,1725.0,82.0,53.3799864,-2.5606392
6,Stonegate-Queensway,16.0,8490.0,100867.0,31.23,6625.0,160.0,52.304344,-0.5920399
7,Mimico,17.0,11520.0,87901.0,21.59,12740.0,351.0,43.6036604,-79.4932037
8,New Toronto,18.0,2790.0,70398.0,24.84,3505.0,185.0,43.6007625,-79.505264
9,Long Branch,19.0,2585.0,77549.0,28.08,3100.0,102.0,43.5930751,-79.541212
10,Alderwood,20.0,2290.0,83584.0,11.41,3320.0,97.0,43.6017173,-79.5452325
11,Humber Summit,21.0,1450.0,65757.0,32.33,3110.0,251.0,43.7600778,-79.5717598
12,Black Creek,24.0,1565.0,52499.0,41.84,5615.0,358.0,43.6954005,-79.485495
13,York University Heights,27.0,5555.0,59770.0,47.0,8535.0,671.0,40.8601,-73.909303
14,Rustic,28.0,800.0,59004.0,16.55,2255.0,93.0,40.6987671,-105.5817164
15,Maple Leaf,29.0,1580.0,68718.0,14.42,2540.0,71.0,43.7122767,-79.4901977
16,Englemount-Lawrence,32.0,5880.0,86616.0,43.98,5680.0,249.0,43.7098358,-79.435279
17,Clanton Park,33.0,5290.0,89550.0,19.35,5105.0,174.0,32.8457906,-86.6285124456329
18,Bathurst Manor,34.0,4980.0,76914.0,18.8,4230.0,128.0,47.6222443,-65.6232941
19,Newtonbrook West,36.0,7920.0,66505.0,26.14,6775.0,259.0,43.7838821,-79.4232529
20,Willowdale West,37.0,7515.0,83632.0,17.67,5350.0,149.0,43.7753558,-79.4166859823926
21,Banbury-Don Mills,42.0,10850.0,115239.0,21.31,6410.0,171.0,43.7348039,-79.3572426
22,Victoria Village,43.0,3760.0,65104.0,26.9,4640.0,183.0,43.732658,-79.3111892
23,Flemingdon Park,44.0,4910.0,55824.0,21.66,6260.0,177.0,43.7184315,-79.333204
24,Pleasant View,46.0,4625.0,71782.0,22.56,3930.0,109.0,43.787048,-79.3337137
25,Don Valley Village,47.0,9675.0,69884.0,37.87,7910.0,250.0,43.7926732,-79.3547219
26,Hillcrest Village,48.0,6445.0,81484.0,48.46,3520.0,114.0,43.7996637,-79.3650189
27,Bayview Woods-Steeles,49.0,5120.0,88861.0,35.61,2615.0,94.0,43.7981268,-79.3829726
28,Newtonbrook East,50.0,6745.0,84163.0,29.12,4540.0,148.0,43.7838821,-79.4232529
29,Willowdale East,51.0,25095.0,80607.0,28.9,18830.0,309.0,43.7753558,-79.4166859823926
30,Bayview Village,52.0,9790.0,92800.0,32.12,7550.0,143.0,43.7691966,-79.3766617
31,Henry Farm,53.0,6370.0,65901.0,20.8,6240.0,104.0,43.7695089,-79.354296
32,O'Connor-Parkview,54.0,3970.0,73050.0,37.63,4865.0,210.0,43.7070599,-79.3116303
33,Thorncliffe Park,55.0,5075.0,49530.0,34.53,6495.0,148.0,43.704553,-79.3454074
34,Broadview North,57.0,3510.0,67940.0,31.36,3860.0,94.0,43.6839242,-79.3569642
35,Old East York,58.0,2435.0,90478.0,24.76,2385.0,75.0,43.6913391,-79.3278212
36,Danforth-East York,59.0,5255.0,83989.0,24.56,5230.0,113.0,43.6913391,-79.3278212
37,Woodbine-Lumsden,60.0,2245.0,74945.0,27.87,2485.0,70.0,43.6931099,-79.3145342
